"","WIB","HenID","RPen","DIB","CLASS","TrackingSystemID","PenID","temperature_C_avg","Treatment","tobeusedPCA","RearingPenID","InitialWeight","Treatment_encoded","perc_duration_5_Zone","perc_duration_4_Zone","perc_duration_3_Zone","perc_duration_2_Zone","perc_1_Zone_while_WG_open","nbr_stays_2_Zone_perh","nbr_stays_4_Zone_perh","nbr_stays_3_Zone_perh","nbr_stays_5_Zone_perh","nbr_stays_1_Zone_perh","in_WG_15mnAfterOpening","SleepingHeight","vertical_travel_distance_perh","avgDIB","severity","Feathers","cDIB","cDIBfact","InitialWeight_kg","PC1","PC2","PC3","cDIB2","temperature_C_avg_scale","cDIB2_scale","cDIB_scale","avgDIB_scale","InitialWeight_kg_scale","ri1_fit_marginalnull","ri2_fit_marginalnull","rr1_fit_marginalnull","rr2_fit_marginalnull","rrq1_fit_marginalnull","rrq2_fit_marginalnull","ri1_fit_marginalnull","ri2_fit_marginalnull","rr1_fit_marginalnull","rr2_fit_marginalnull","rrq1_fit_marginalnull","rrq2_fit_marginalnull"
"13",4,"hen_134",4,25,"MEXP","TrackingSystem 10-12","pen10",14.1666666666667,"TRAN",0,4,1112,-1,73,12,4,1,23.2333333333333,0.333333333333333,1.33333333333333,0.666666666666667,0.916666666666667,0.4,1,3,3,33.3571428571429,34,73,25,25,1.112,-1.80235267258163,1.09701877836093,1.45630877291447,625,1.04671403580675,-0.788046869157158,-0.697401936393219,-0.367755380537164,-0.914295901638055,-1.04334735878916,-1.04135544604788,-1.16432218316245,-1.16442680816064,-1.28100236350574,-1.28272847627868,0.0773811093838898,0.0610614409805184,0.0635816660520058,0.0575885435639992,0.054436724801566,0.0467170353895336
"14",4,"hen_134",4,26,"MEXP","TrackingSystem 10-12","pen10",14.3333333333333,"TRAN",0,4,1112,-1,68,10,6,3,25.1851851851852,0.583333333333333,1.41666666666667,0.666666666666667,1.16666666666667,0.5,1,3,3.5,33.3571428571429,34,73,26,26,1.112,-1.7548821333703,1.36021073729759,1.66490262827472,676,1.09912762776468,-0.726716686347067,-0.616247335588013,-0.367755380537164,-0.914295901638055,-1.00888229595514,-1.00689236161946,-1.11496906596024,-1.11507004020645,-1.250908022755,-1.252219216016,0.111846172217916,0.0955245254089356,0.0995730777503125,0.0934929985042664,0.0908118539491637,0.0832169399605528
"15",4,"hen_134",4,27,"MEXP","TrackingSystem 10-12","pen10",5.16666666666667,"TRAN",0,4,1112,-1,73,8,5,5,15.3461538461538,0.416666666666667,1.33333333333333,0.833333333333333,0.75,0.461538461538462,0,3,3,33.3571428571429,34,73,27,27,1.112,-1.37756052032033,0.828613122960456,0.419345878526893,729,-1.7836199299227,-0.662981398328737,-0.535092734782807,-0.367755380537164,-0.914295901638055,-0.856498127139715,-0.854651135092393,-0.945450326610141,-0.945648852370292,-1.09693985056473,-1.09794278940103,0.264230341033337,0.247765751936003,0.255730111596504,0.249461873326513,0.248455860280691,0.240906711814133
"16",4,"hen_134",4,28,"MEXP","TrackingSystem 10-12","pen10",10.1666666666667,"TRAN",0,4,1112,-1,69,7,4,10,19.712962962963,1,1.5,0.916666666666667,1.16666666666667,1.16666666666667,1,3,4.16666666666667,33.3571428571429,34,73,28,28,1.112,-1.58409201129512,1.37622081144916,2.02008956556975,784,-0.211212171184112,-0.596841005102169,-0.453938133977602,-0.367755380537164,-0.914295901638055,-0.887672055648381,-0.885746668658363,-0.963215140690495,-0.963351950558886,-1.12941854083901,-1.1300409618205,0.233056412524671,0.216670218370033,0.224603592012245,0.218306462124002,0.217048049892073,0.20964458556356
"17",5,"hen_134",4,29,"MEXP","TrackingSystem 10-12","pen10",11.8333333333333,"TRAN",1,4,1112,-1,73,8,3,12,6.95555555555555,0.666666666666667,1.41666666666667,1.08333333333333,0.833333333333333,0.48,0,3,3.66666666666667,33.3571428571429,34,73,29,29,1.112,-1.1413089614346,1.04753288457288,0.167029857100538,841,0.312923748395393,-0.528295506667361,-0.372783533172396,-0.367755380537164,-0.914295901638055,-0.877899781147263,-0.875944460685261,-0.939311994472751,-0.939421787820411,-1.11725421513862,-1.11755709947578,0.242828687025789,0.226472426343135,0.235145032726086,0.228784311848561,0.227678301222516,0.220387195007454
"18",5,"hen_134",4,30,"MEXP","TrackingSystem 10-12","pen10",11.8333333333333,"TRAN",0,4,1112,-1,69,9,3,14,10.4646464646465,0.75,1.83333333333333,1.25,1.16666666666667,0.545454545454545,0,3,5,33.3571428571429,34,73,30,30,1.112,-1.15105371891761,1.82726837013745,0.381874124568147,900,0.312923748395393,-0.457344903024315,-0.29162893236719,-0.367755380537164,-0.914295901638055,-0.848562665572922,-0.846600177995195,-0.895545794026295,-0.895644797197898,-1.08245543331494,-1.08248707225245,0.27216580260013,0.255816709033201,0.265549527668638,0.259108989457157,0.258338054420666,0.251138670260228
"19",5,"hen_134",4,31,"MEXP","TrackingSystem 10-12","pen10",15.6666666666667,"TRAN",0,4,1112,-1,72,6,4,15,5.25,0.846153846153846,1.46153846153846,1,1.07692307692308,0.631578947368421,0,3,4.46153846153846,33.3571428571429,34,73,31,31,1.112,-1.11218452136915,1.30990312350876,0.283970433780627,961,1.51843636342832,-0.38398919417303,-0.210474331561984,-0.367755380537164,-0.914295901638055,-0.870219203316002,-0.868187521101112,-0.9038727293801,-0.903916207733352,-1.09765044287741,-1.09741725077294,0.25050926485705,0.234229365927284,0.24386088681093,0.237385265907787,0.236399061977057,0.229312640699462
"20",5,"hen_134",4,32,"MEXP","TrackingSystem 10-12","pen10",14.5,"TRAN",0,4,1112,-1,72,8,2,7,20.9385964912281,0.846153846153846,1.84615384615385,1.07692307692308,1.15384615384615,0.947368421052632,1,3,4.46153846153846,33.3571428571429,34,73,32,32,1.112,-1.65788005972279,1.6966544733903,1.90049697209171,1024,1.15154121972265,-0.308228380113505,-0.129319730756778,-0.367755380537164,-0.914295901638055,-0.829548176112739,-0.827521455845851,-0.84872679836642,-0.848767924298704,-1.04619387661387,-1.04576952464367,0.291180292060312,0.274895431182545,0.285645112320706,0.279081236328518,0.278506691103863,0.271487216718743
"21",5,"hen_134",4,33,"MEXP","TrackingSystem 10-12","pen10",13,"TRAN",0,4,1112,-1,74,13,1,5,13.3504273504273,0.538461538461538,1.38461538461538,0.846153846153846,0.923076923076923,0.461538461538462,0,3,3.53846153846154,33.3571428571429,34,73,33,33,1.112,-1.44163372525306,1.27517624851489,0.367053162935339,1089,0.679818892101072,-0.230062460845742,-0.0481651299515726,-0.367755380537164,-0.914295901638055,-0.7864173973855,-0.784397849331309,-0.791161737979536,-0.791201959414444,-0.989709702108108,-0.989132329544255,0.334311070787552,0.318019037697086,0.329848467203686,0.323194888198862,0.323036974217294,0.316073962638441
"22",5,"hen_134",4,34,"MEXP","TrackingSystem 10-12","pen10",19.3333333333333,"TRAN",0,4,1112,-1,73,9,2,8,19.2675438596491,0.769230769230769,1,0.769230769230769,0.769230769230769,0.789473684210526,1,3,3.23076923076923,33.3571428571429,34,73,34,34,1.112,-1.56505900649285,0.641997420840441,1.64013200029045,1156,2.67153538650326,-0.149491436369741,0.0329894708536332,-0.367755380537164,-0.914295901638055,-0.845595540623424,-0.843459468985804,-0.838021587959437,-0.837971834991423,-1.03603986263175,-1.03528542791406,0.275132927549628,0.258957418042592,0.269626911719882,0.262972699607966,0.26214796804572,0.2552931160192
